iter	Passed	Remaining
475	851	937
476	852	934
477	853	932
478	854	929
479	856	927
480	857	924
481	858	922
482	859	920
483	860	917
484	861	914
485	862	912
486	863	910
487	865	907
488	866	905
489	867	902
490	868	900
491	869	898
492	871	895
493	872	893
494	873	891
495	874	888
496	875	886
497	877	884
498	878	881
499	879	879
500	880	876
501	881	874
502	882	872
503	884	869
504	885	867
505	886	865
506	887	863
507	888	860
508	889	858
509	890	855
510	892	853
511	893	851
512	894	848
513	895	846
514	896	844
515	897	842
516	898	839
517	900	837
518	901	835
519	902	832
520	903	830
521	904	828
522	905	826
523	906	823
524	907	821
525	909	819
526	910	816
527	911	815
528	913	812
529	914	810
530	915	808
531	917	806
532	918	804
533	919	802
534	920	800
535	921	797
536	922	795
537	923	793
538	925	791
539	926	789
540	927	787
541	928	784
542	930	782
543	931	780
544	932	778
545	933	776
546	934	774
547	935	771
548	937	769
549	938	767
550	939	765
551	940	763
552	941	761
553	943	759
554	944	757
555	945	755
556	946	752
557	947	750
558	948	748
559	949	746
560	952	745
561	954	743
562	955	741
563	956	739
564	957	737
565	959	735
566	960	733
567	961	731
568	963	730
569	965	728
570	966	726
571	967	724
572	969	722
573	970	720
574	971	718
575	972	715
576	973	714
577	975	711
578	976	709
579	977	708
580	980	706
581	981	704
582	982	702
583	984	700
584	985	699
585	987	697
586	988	695
587	989	693
588	991	691
589	992	689
590	994	688
591	996	686
592	997	684
593	998	682
594	999	680
595	1000	678
596	1002	676
597	1003	674
598	1004	672
599	1005	670
600	1006	668
601	1008	666
602	1010	665
603	1012	663
604	1013	661
605	1014	659
606	1015	657
607	1016	655
608	1018	653
609	1019	651
610	1020	649
611	1021	647
612	1022	645
613	1025	644
614	1026	642
615	1028	640
616	1029	638
617	1030	636
618	1031	634
619	1032	632
620	1033	630
621	1034	628
622	1035	626
623	1037	624
624	1040	624
625	1042	622
626	1043	620
627	1044	618
628	1045	616
629	1046	614
630	1048	612
631	1049	611
632	1050	609
633	1051	607
634	1053	605
635	1055	604
636	1057	602
637	1058	600
638	1059	598
639	1060	596
640	1061	594
641	1062	592
642	1064	590
643	1065	588
644	1066	587
645	1067	585
646	1070	584
647	1072	582
648	1073	580
649	1074	578
650	1075	576
651	1076	574
652	1077	572
653	1078	570
654	1080	569
655	1081	567
656	1082	565
657	1086	564
658	1087	562
659	1088	560
660	1089	559
661	1091	557
662	1092	555
663	1093	553
664	1095	551
665	1096	550
666	1098	548
667	1100	547
668	1102	545
669	1103	543
670	1104	541
671	1106	539
672	1107	538
673	1108	536
674	1110	534
675	1111	532
676	1112	530
677	1115	529
678	1117	528
679	1118	526
680	1120	524
681	1121	522
682	1122	521
683	1124	519
684	1125	517
685	1126	515
686	1128	514
687	1130	512
688	1131	510
689	1132	508
690	1134	507
691	1135	505
692	1136	503
693	1139	502
694	1142	501
695	1144	499
696	1146	498
697	1147	496
698	1149	494
699	1151	493
700	1154	492
701	1156	491
702	1158	489
703	1159	487
704	1160	485
705	1161	483
706	1162	481
707	1164	480
708	1165	478
709	1166	476
710	1168	474
711	1169	473
712	1170	471
713	1172	469
714	1173	467
715	1174	466
716	1176	464
717	1177	462
718	1178	460
719	1180	459
720	1182	457
721	1183	455
722	1184	453
723	1185	452
724	1187	450
725	1188	448
726	1189	446
727	1190	444
728	1192	443
729	1193	441
730	1194	439
731	1196	437
732	1197	436
733	1198	434
734	1199	432
735	1201	430
736	1202	429
737	1203	427
738	1205	425
739	1206	423
740	1207	422
741	1210	420
742	1212	419
743	1214	417
744	1216	416
745	1219	415
746	1222	414
747	1225	412
748	1227	411
749	1229	409
750	1231	408
751	1233	406
752	1235	405
753	1239	404
754	1244	403
755	1248	402
756	1252	402
757	1256	400
758	1257	399
759	1260	397
760	1261	396
761	1263	394
762	1265	393
763	1268	391
764	1273	391
765	1276	390
766	1278	388
767	1280	386
768	1281	385
769	1285	384
770	1287	382
771	1290	381
772	1292	379
773	1295	378
774	1302	378
775	1305	376
776	1307	375
777	1308	373
778	1310	371
779	1311	370
780	1315	368
781	1318	367
782	1319	365
783	1321	364
784	1323	362
785	1325	360
786	1327	359
787	1332	358
788	1334	356
789	1335	354
790	1336	353
791	1338	351
792	1339	349
793	1341	348
794	1342	346
795	1346	345
796	1348	343
797	1349	341
798	1351	339
799	1352	338
800	1354	336
801	1355	334
802	1357	333
803	1360	331
804	1362	329
805	1363	328
806	1364	326
807	1366	324
808	1367	322
809	1369	321
810	1370	319
811	1371	317
812	1373	315
813	1376	314
814	1378	312
815	1379	311
816	1380	309
817	1382	307
818	1383	305
819	1384	304
820	1386	302
821	1387	300
822	1388	298
823	1391	297
824	1392	295
825	1394	293
826	1396	292
827	1397	290
828	1399	288
829	1400	286
830	1401	285
831	1403	283
832	1404	281
833	1407	280
834	1408	278
835	1409	276
836	1410	274
837	1411	272
838	1413	271
839	1414	269
840	1415	267
841	1416	265
842	1417	264
843	1418	262
844	1421	260
845	1423	259
846	1424	257
847	1425	255
848	1426	253
849	1427	251
850	1428	250
851	1430	248
852	1431	246
853	1432	244
854	1433	243
855	1435	241
856	1437	239
857	1438	238
858	1440	236
859	1441	234
860	1442	232
861	1443	231
862	1444	229
863	1445	227
864	1447	225
865	1448	224
866	1449	222
867	1451	220
868	1453	219
869	1454	217
870	1455	215
871	1456	213
872	1457	212
873	1459	210
874	1460	208
875	1461	206
876	1462	205
877	1463	203
878	1464	201
879	1466	200
880	1468	198
881	1469	196
882	1470	194
883	1471	193
884	1472	191
885	1473	189
886	1474	187
887	1475	186
888	1477	184
889	1478	182
890	1479	180
891	1480	179
892	1481	177
893	1483	175
894	1484	174
895	1485	172
896	1486	170
897	1487	168
898	1488	167
899	1489	165
900	1491	163
901	1492	162
902	1493	160
903	1494	158
904	1495	157
905	1497	155
906	1498	153
907	1499	151
908	1500	150
909	1501	148
910	1503	146
911	1504	145
912	1505	143
913	1506	141
914	1507	140
915	1508	138
916	1510	136
917	1511	134
918	1512	133
919	1513	131
920	1514	129
921	1515	128
922	1516	126
923	1517	124
924	1519	123
925	1520	121
926	1521	119
927	1522	118
928	1523	116
929	1524	114
930	1526	113
931	1527	111
932	1528	109
933	1529	108
934	1530	106
935	1531	104
936	1532	103
937	1534	101
938	1535	99
939	1536	98
940	1537	96
941	1538	94
942	1539	93
943	1541	91
944	1542	89
945	1543	88
946	1544	86
947	1545	84
948	1546	83
949	1548	81
950	1549	79
951	1550	78
952	1552	76
953	1554	74
954	1559	73
955	1560	71
956	1561	70
957	1563	68
958	1564	66
959	1565	65
960	1566	63
961	1567	61
962	1568	60
963	1570	58
964	1570	56
965	1573	55
966	1575	53
967	1576	52
968	1577	50
969	1578	48
970	1579	47
971	1581	45
972	1582	43
973	1583	42
974	1584	40
975	1585	38
976	1588	37
977	1590	35
978	1591	34
979	1592	32
980	1593	30
981	1594	29
982	1595	27
983	1596	25
984	1598	24
985	1599	22
986	1600	21
987	1601	19
988	1604	17
989	1605	16
990	1606	14
991	1608	12
992	1609	11
993	1610	9
994	1611	8
995	1613	6
996	1614	4
997	1616	3
998	1619	1
999	1621	0
